dt,gender,age,chainname,number_visit
2015-07-13,male,65_plus,Chick-fil-A,59
2015-07-13,male,55_64,Chick-fil-A,148
2015-07-13,female,55_64,Popeyes Louisiana Kitchen,26
2015-07-13,female,Under_18,Popeyes Louisiana Kitchen,2
2015-07-13,male,18_24,Popeyes Louisiana Kitchen,23
2015-07-13,male,45_54,Chick-fil-A,415
2015-07-13,male,45_54,Popeyes Louisiana Kitchen,114
2015-07-13,male,65_plus,Popeyes Louisiana Kitchen,22
2015-07-13,male,35_44,Popeyes Louisiana Kitchen,227
2015-07-13,male,35_44,Chick-fil-A,760
2015-07-13,female,45_54,Popeyes Louisiana Kitchen,62
2015-07-13,female,25_34,Chick-fil-A,684
2015-07-13,female,65_plus,Chick-fil-A,57
2015-07-13,female,18_24,Popeyes Louisiana Kitchen,32
2015-07-13,male,18_24,Chick-fil-A,110
2015-07-13,male,25_34,Chick-fil-A,721
2015-07-14,female,Under_18,Chick-fil-A,17
2015-07-14,female,18_24,Popeyes Louisiana Kitchen,31
2015-07-14,female,45_54,Popeyes Louisiana Kitchen,74
2015-07-14,female,65_plus,Chick-fil-A,68
2015-07-14,male,65_plus,Popeyes Louisiana Kitchen,17
2015-07-14,female,55_64,Chick-fil-A,187
2015-07-14,female,45_54,Chick-fil-A,451
2015-07-14,female,55_64,Popeyes Louisiana Kitchen,38
2015-07-14,male,Under_18,Chick-fil-A,5
2015-07-14,male,25_34,Chick-fil-A,936
2015-07-14,male,45_54,Popeyes Louisiana Kitchen,137
2015-07-14,male,45_54,Chick-fil-A,556
2015-07-14,female,25_34,Popeyes Louisiana Kitchen,190
2015-07-14,male,25_34,Popeyes Louisiana Kitchen,266
2015-07-14,female,35_44,Chick-fil-A,802
2015-07-14,male,65_plus,Chick-fil-A,70
2015-07-14,male,35_44,Chick-fil-A,993
2015-07-14,male,18_24,Chick-fil-A,167
2015-07-14,female,25_34,Chick-fil-A,964
2015-07-14,male,35_44,Popeyes Louisiana Kitchen,279
2015-07-14,male,18_24,Popeyes Louisiana Kitchen,36
2015-07-14,male,55_64,Popeyes Louisiana Kitchen,52
2015-07-14,female,65_plus,Popeyes Louisiana Kitchen,16
2015-07-14,female,35_44,Popeyes Louisiana Kitchen,149
2015-07-14,female,18_24,Chick-fil-A,284
2015-07-14,male,55_64,Chick-fil-A,207
2015-07-15,female,18_24,Chick-fil-A,206
2015-07-15,male,18_24,Popeyes Louisiana Kitchen,24
2015-07-15,male,25_34,Popeyes Louisiana Kitchen,265
